Date,State,Weekly Cases,Weekly Tests,Test Positivity Rate
2021-05-20,Arunachal Pradesh,1689,25833,0.065
2021-05-20,Assam,38020,538098,0.071
2021-05-20,Bihar,45860,879403,0.052
2021-05-20,Chandigarh,3938,22717,0.173
2021-05-20,Chhattisgarh,44092,456178,0.097
2021-05-20,Delhi,37475,431522,0.087
2021-05-20,Goa,11437,32834,0.348
2021-05-20,Gujarat,50867,804826,0.063
2021-05-20,Haryana,57936,952820,0.061
2021-05-20,Himachal Pradesh,22049,95765,0.23
2021-05-20,Jammu and Kashmir,26294,273456,0.096
2021-05-20,Karnataka,247036,799401,0.309
2021-05-20,Kerala,213070,863113,0.247
2021-05-20,Madhya Pradesh,44114,487816,0.09
2021-05-20,Maharashtra,228156,1802919,0.127
2021-05-20,Manipur,4313,21981,0.196
2021-05-20,Meghalaya,5351,24560,0.218
2021-05-20,Nagaland,2028,9392,0.216
2021-05-20,Odisha,79602,405886,0.196
2021-05-20,Puducherry,12492,63702,0.196
2021-05-20,Rajasthan,75668,398256,0.19
2021-05-20,Sikkim,1587,4826,0.329
2021-05-20,Tamil Nadu,235319,1149989,0.205
2021-05-20,Telangana,27859,441292,0.063
2021-05-20,Tripura,4442,53439,0.083
2021-05-20,Uttar Pradesh,70550,1915986,0.037
2021-05-20,Uttarakhand,32130,226216,0.142
2021-05-20,West Bengal,136002,469354,0.29
